municipio,UF,Módulo fiscal (ha),,
Penaforte,CE,45,,
Pentecoste,CE,50,,
Pereiro,CE,55,,
Pindoretama,CE,28,,
Piquet Carneiro,CE,50,,
Pires Ferreira,CE,50,,
Poranga,CE,70,,
Porteiras,CE,45,,
Potengi,CE,60,,
Potiretama,CE,60,,
Quiterianópolis,CE,80,,
Quixadá,CE,50,,
Quixelâ,CE,40,,
Quixeramobim,CE,50,,
Quixeré,CE,55,,
Redenção,CE,35,,
Reriutaba,CE,55,,
Russas,CE,55,,
Saboeiro,CE,90,,
Salitre,CE,70,,
Santa Quitéria,CE,55,,
Santana do Acaraú,CE,65,,
Santana do Cariri,CE,55,,
São Benedito,CE,40,,
São Gonçalo do Amarante,CE,50,,
São João do Jaguaribe,CE,55,,
São Luís do Curu,CE,50,,
Senador Pompeu,CE,50,,
Senador Sá,CE,65,,
Sobral,CE,50,,
Solonópole,CE,55,,
Tabuleiro do Norte,CE,55,,
Tamboril,CE,80,,
Tarrafas,CE,50,,
Tauá,CE,90,,
Tejuçuoca,CE,45,,
Tianguá,CE,45,,
Trairi,CE,50,,
Tururu,CE,35,,
Ubajara,CE,50,,
Umari,CE,40,,
Umirim,CE,35,,
Uruburetama,CE,35,,
Uruoca,CE,65,,
Varjota,CE,55,,
Várzea Alegre,CE,50,,
Viçosa do Ceará,CE,50,,
Brasília,DF,5,,
Afonso Cláudio,ES,20,,
Água Doce do Norte,ES,20,,
Águia Branca,ES,20,,
Alegre,ES,24,,
Alfredo Chaves,ES,18,,
Alto Rio Novo,ES,20,,
Anchieta,ES,16,,
Apiacá,ES,30,,
Aracruz,ES,20,,
Atilio Vivacqua,ES,16,,
Baixo Guandu,ES,26,,
Barra de São Francisco,ES,20,,
Boa Esperança,ES,20,,
Bom Jesus do Norte,ES,20,,
Brejetuba,ES,20,,
Cachoeiro de Itapemirim,ES,16,,
Cariacica,ES,12,,
Castelo,ES,18,,
Colatina,ES,18,,
Conceição da Barra,ES,20,,
Conceição do Castelo,ES,18,,
Divino de São Lourenço,ES,20,,
Domingos Martins,ES,18,,
Dores do Rio Preto,ES,20,,
Ecoporanga,ES,50,,
Fundão,ES,20,,
Governador Lindenberg,ES,18,,
Guaçuí,ES,22,,
Guarapari,ES,16,,
Ibatiba,ES,20,,
Ibiraçu,ES,24,,
Ibitirama,ES,24,,
Iconha,ES,18,,
Irupi,ES,20,,
Itaguaçu,ES,22,,
Itapemirim,ES,18,,
Itarana,ES,20,,
Iúna,ES,20,,
Jaguaré,ES,20,,
Jerânimo Monteiro,ES,30,,
João Neiva,ES,24,,
Laranja da Terra,ES,20,,
Linhares,ES,20,,
Mantenópolis,ES,20,,
Marataízes,ES,18,,
Marechal Floriano,ES,18,,
Marilândia,ES,18,,
Mimoso do Sul,ES,30,,
Montanha,ES,60,,
Mucurici,ES,60,,
Muniz Freire,ES,18,,
Muqui,ES,30,,
Nova Venécia,ES,20,,
Pancas,ES,20,,
Pedro Canário,ES,20,,
Pinheiros,ES,20,,
Piúma,ES,18,,
Ponto Belo,ES,60,,
Presidente Kennedy,ES,30,,
Rio Bananal,ES,20,,
Rio Novo do Sul,ES,20,,
Santa Leopoldina,ES,18,,
Santa Maria de Jetibá,ES,18,,
Santa Teresa,ES,18,,
São Domingos do Norte,ES,18,,
São Gabriel da Palha,ES,20,,
São José do Calçado,ES,20,,
São Mateus,ES,20,,
